 Jalen Brunson<>PG<>DAL<>466<>188<>134<>22<>57<>
 Thomas Bryant<>C<>WAS<>609<>83<>331<>25<>46<>
 Reggie Bullock<>SG<>NYK<>234<>42<>68<>25<>29<>
 Trey Burke<>PG<>none<>243<>83<>50<>16<>33<>
 Trey Burke<>PG<>PHI<>147<>53<>35<>7<>25<>
 Trey Burke<>PG<>DAL<>96<>30<>15<>9<>8<>
 Alec Burks<>SF-SG<>none<>993<>189<>282<>62<>66<>
 Alec Burks<>SF<>GSW<>773<>151<>226<>50<>48<>
 Alec Burks<>SG<>PHI<>220<>38<>56<>12<>18<>
 Deonte Burton<>SF<>OKC<>104<>17<>57<>7<>39<>
 Jimmy Butler<>SF<>MIA<>1157<>350<>386<>103<>58<>
 Bruno Caboclo<>C<>none<>90<>12<>60<>15<>30<>
 Bruno Caboclo<>C<>MEM<>62<>10<>44<>10<>22<>
 Bruno Caboclo<>C<>HOU<>28<>2<>16<>5<>8<>
 Devontae Cacok<>C<>LAL<>6<>1<>5<>0<>1<>
 Kentavious Caldwell-Pope<>SG<>LAL<>645<>111<>142<>57<>69<>
 Vlatko Čančar<>PF<>DEN<>17<>3<>10<>1<>14<>
 Clint Capela<>C<>HOU<>543<>48<>537<>33<>39<>
 DeMarre Carroll<>SF-C<>none<>87<>25<>55<>8<>24<>
 DeMarre Carroll<>SF<>SAS<>33<>11<>31<>2<>15<>
 DeMarre Carroll<>C<>HOU<>54<>14<>24<>6<>9<>
 Jevon Carter<>PG<>PHO<>287<>84<>118<>47<>58<>
 Vince Carter<>PF<>ATL<>298<>48<>124<>23<>60<>
 Wendell Carter Jr.<>C<>CHI<>484<>51<>405<>33<>43<>
 Michael Carter-Williams<>SG<>ORL<>323<>109<>147<>49<>45<>
 Alex Caruso<>PG<>LAL<>349<>124<>123<>70<>64<>
 Willie Cauley-Stein<>C<>none<>390<>70<>315<>49<>54<>
 Willie Cauley-Stein<>C<>GSW<>323<>60<>255<>45<>41<>
 Willie Cauley-Stein<>C<>DAL<>67<>10<>60<>4<>13<>
 Tyson Chandler<>C<>HOU<>34<>6<>66<>6<>26<>
 Wilson Chandler<>PF<>BRK<>205<>39<>145<>16<>35<>
 Joe Chealey<>PG<>CHO<>2<>1<>0<>4<>4<>
 Zylan Cheatham<>PF<>NOP<>12<>3<>9<>1<>4<>
 Chris Chiozza<>PG<>none<>142<>83<>53<>21<>28<>
 Chris Chiozza<>PG<>WAS<>27<>28<>15<>10<>10<>
 Chris Chiozza<>PG<>BRK<>115<>55<>38<>11<>18<>
 Marquese Chriss<>PF<>GSW<>548<>114<>365<>39<>59<>
 Gary Clark<>SF-PF<>none<>156<>17<>110<>6<>42<>
 Gary Clark<>PF<>HOU<>70<>12<>40<>2<>18<>
 Gary Clark<>SF<>ORL<>86<>5<>70<>4<>24<>
 Brandon Clarke<>PF<>MEM<>700<>81<>345<>32<>58<>
 Jordan Clarkson<>SG<>none<>1078<>136<>187<>46<>71<>
 Jordan Clarkson<>SG<>CLE<>423<>70<>69<>17<>29<>
 Jordan Clarkson<>SG<>UTA<>655<>66<>118<>29<>42<>
